case,b,L,phi,exact,approx_fit,approx_theory
b1e4,10000.0,16384,0.0,0.47545005387794126,0.43459405281401975,0.43454477938296904
b1e4,10000.0,16384,0.003125,0.4778970437546052,0.4360772999474399,0.43602778299675804
b1e4,10000.0,16384,0.00625,0.4443407990948836,0.43756054708086,0.43751078661054704
b1e4,10000.0,16384,0.009375000000000001,0.43908321702706277,0.43904379421428014,0.43899379022433604
b1e4,10000.0,16384,0.0125,0.4154399533399977,0.4405270413477002,0.44047679383812505
b1e4,10000.0,16384,0.015625,0.5159301669779566,0.44201028848112034,0.44195979745191405
b1e4,10000.0,16384,0.018750000000000003,0.4585225452564843,0.44349353561454047,0.44344280106570305
b1e4,10000.0,16384,0.021875000000000002,0.4700892982856902,0.4449767827479606,0.44492580467949205
b1e4,10000.0,16384,0.025,0.449742697220973,0.4464600298813807,0.44640880829328106
b1e4,10000.0,16384,0.028125,0.4576140246669557,0.44794327701480086,0.44789181190707006
b1e4,10000.0,16384,0.03125,0.4289956934367887,0.44942652414822093,0.44937481552085906
b1e4,10000.0,16384,0.034375,0.4326164949644869,0.45090977128164106,0.45085781913464806
b1e4,10000.0,16384,0.037500000000000006,0.474629402281772,0.4523930184150612,0.45234082274843707
b1e4,10000.0,16384,0.040625,0.5645042151358475,0.4538762655484813,0.45382382636222607
b1e4,10000.0,16384,0.043750000000000004,0.5791955948548455,0.45535951268190145,0.45530682997601507
b1e4,10000.0,16384,0.046875,0.47722268868557705,0.4568427598153216,0.4567898335898041
b1e4,10000.0,16384,0.05,0.4775911896145782,0.4583260069487417,0.4582728372035931
b1e4,10000.0,16384,0.053125000000000006,0.4780765629264246,0.4598092540821618,0.4597558408173821
b1e4,10000.0,16384,0.05625,0.47859035658300014,0.4612925012155819,0.4612388444311711
b1e4,10000.0,16384,0.059375000000000004,0.4790641407483145,0.46277574834900204,0.4627218480449601
b1e4,10000.0,16384,0.0625,0.47815755775507723,0.46425899548242217,0.4642048516587491
b1e4,10000.0,16384,0.065625,0.47948739600544843,0.4657422426158423,0.4656878552725381
b1e4,10000.0,16384,0.06875,0.4817126767314581,0.46722548974926237,0.4671708588863271
b1e4,10000.0,16384,0.07187500000000001,0.4752441837222443,0.4687087368826825,0.4686538625001161
b1e4,10000.0,16384,0.07500000000000001,0.45899113521630897,0.4701919840161026,0.4701368661139051
b1e4,10000.0,16384,0.078125,0.473034156729146,0.47167523114952276,0.4716198697276941
b1e4,10000.0,16384,0.08125,0.4840199271916934,0.4731584782829429,0.47310287334148304
b1e4,10000.0,16384,0.084375,0.5251956996649436,0.474641725416363,0.4745858769552721
b1e4,10000.0,16384,0.08750000000000001,0.48656758027580455,0.47612497254978314,0.47606888056906105
b1e4,10000.0,16384,0.09062500000000001,0.4867227547161836,0.4776082196832032,0.4775518841828501
b1e4,10000.0,16384,0.09375,0.4827506324623139,0.47909146681662335,0.47903488779663905
b1e4,10000.0,16384,0.096875,0.45332503752060305,0.4805747139500435,0.4805178914104281
b1e4,10000.0,16384,0.1,0.43806809592886004,0.4820579610834636,0.48200089502421706
b1e4,10000.0,16384,0.10312500000000001,0.48519881940233783,0.48354120821688373,0.4834838986380061
b1e4,10000.0,16384,0.10625000000000001,0.4090787437576668,0.48502445535030386,0.48496690225179506
b1e4,10000.0,16384,0.109375,0.47972940933279395,0.48650770248372394,0.48644990586558406
b1e4,10000.0,16384,0.1125,0.48721586542939394,0.48799094961714407,0.48793290947937307
b1e4,10000.0,16384,0.115625,0.5290486402342851,0.4894741967505642,0.48941591309316207
b1e4,10000.0,16384,0.11875000000000001,0.5317443221868107,0.4909574438839843,0.49089891670695107
b1e4,10000.0,16384,0.12187500000000001,0.46182007428141547,0.49244069101740445,0.4923819203207401
b1e4,10000.0,16384,0.125,0.506961083357553,0.4939239381508246,0.4938649239345291
b1e4,10000.0,16384,0.12812500000000002,0.4933961797160332,0.4954071852842447,0.4953479275483181
b1e4,10000.0,16384,0.13125,0.5044087189012875,0.4968904324176648,0.4968309311621071
b1e4,10000.0,16384,0.134375,0.5025483026609912,0.4983736795510849,0.4983139347758961
b1e4,10000.0,16384,0.1375,0.5038321912678962,0.49985692668450504,0.4997969383896851
b1e4,10000.0,16384,0.140625,0.5050940329091799,0.5013401738179252,0.5012799420034741
b1e4,10000.0,16384,0.14375000000000002,0.4610631667285299,0.5028234209513452,0.5027629456172631
b1e4,10000.0,16384,0.146875,0.4918928039796462,0.5043066680847654,0.5042459492310521
b1e4,10000.0,16384,0.15000000000000002,0.5089470736955933,0.5057899152181855,0.5057289528448411
b1e4,10000.0,16384,0.153125,0.5102473299562723,0.5072731623516057,0.5072119564586302
b1e4,10000.0,16384,0.15625,0.5115574045145013,0.5087564094850258,0.5086949600724191
b1e4,10000.0,16384,0.15937500000000002,0.5128842750894982,0.510239656618446,0.5101779636862082
b1e4,10000.0,16384,0.1625,0.5713647424428681,0.511722903751866,0.5116609672999971
b1e4,10000.0,16384,0.16562500000000002,0.521095269150086,0.5132061508852861,0.5131439709137862
b1e4,10000.0,16384,0.16875,0.5169189044659179,0.5146893980187063,0.5146269745275751
b1e4,10000.0,16384,0.171875,0.5182653848916111,0.5161726451521264,0.5161099781413641
b1e4,10000.0,16384,0.17500000000000002,0.5196275839967563,0.5176558922855465,0.5175929817551531
b1e4,10000.0,16384,0.178125,0.5210027508485288,0.5191391394189666,0.5190759853689422
b1e4,10000.0,16384,0.18125000000000002,0.5223830057865257,0.5206223865523867,0.5205589889827311
b1e4,10000.0,16384,0.184375,0.5237591318202286,0.5221056336858069,0.5220419925965201
b1e4,10000.0,16384,0.1875,0.525150845602119,0.5235888808192269,0.5235249962103091
b1e4,10000.0,16384,0.19062500000000002,0.5265437888206423,0.5250721279526471,0.5250079998240982
b1e4,10000.0,16384,0.19375,0.527934871026969,0.5265553750860672,0.5264910034378871
b1e4,10000.0,16384,0.19687500000000002,0.5293301155971265,0.5280386222194874,0.5279740070516761
b1e4,10000.0,16384,0.2,0.530742825731447,0.5295218693529075,0.5294570106654651
b1e4,10000.0,16384,0.203125,0.5321632296612259,0.5310051164863275,0.5309400142792541
b1e4,10000.0,16384,0.20625000000000002,0.5335820057879253,0.5324883636197477,0.5324230178930431
b1e4,10000.0,16384,0.209375,0.5350009786390177,0.5339716107531678,0.5339060215068321
b1e4,10000.0,16384,0.21250000000000002,0.5364084775580866,0.535454857886588,0.5353890251206211
b1e4,10000.0,16384,0.215625,0.537828268956521,0.536938105020008,0.5368720287344101
b1e4,10000.0,16384,0.21875,0.5392718965867853,0.5384213521534281,0.5383550323481991
b1e4,10000.0,16384,0.22187500000000002,0.5406887784867642,0.5399045992868483,0.5398380359619881
b1e4,10000.0,16384,0.225,0.5421315337119983,0.5413878464202684,0.5413210395757772
b1e4,10000.0,16384,0.22812500000000002,0.5435674099640326,0.5428710935536886,0.5428040431895661
b1e4,10000.0,16384,0.23125,0.5450015520959426,0.5443543406871086,0.5442870468033552
b1e4,10000.0,16384,0.234375,0.5464693582864687,0.5458375878205288,0.5457700504171441
b1e4,10000.0,16384,0.23750000000000002,0.5479120308088168,0.5473208349539489,0.5472530540309332
b1e4,10000.0,16384,0.240625,0.5493427541302244,0.548804082087369,0.5487360576447221
b1e4,10000.0,16384,0.24375000000000002,0.5508033301100866,0.5502873292207892,0.5502190612585112
b1e4,10000.0,16384,0.246875,0.5522317505060548,0.5517705763542092,0.5517020648723001
b1e4,10000.0,16384,0.25,0.5536977446509483,0.5532538234876294,0.5531850684860892
b1e4,10000.0,16384,0.253125,0.5551379399178719,0.5547370706210495,0.5546680720998781
b1e4,10000.0,16384,0.25625000000000003,0.5566234983576517,0.5562203177544697,0.5561510757136672
b1e4,10000.0,16384,0.259375,0.5580789903983313,0.5577035648878897,0.5576340793274561
b1e4,10000.0,16384,0.2625,0.559509187033925,0.5591868120213098,0.5591170829412452
b1e4,10000.0,16384,0.265625,0.560973831041145,0.56067005915473,0.5606000865550341
b1e4,10000.0,16384,0.26875,0.5624297827755589,0.5621533062881501,0.5620830901688232
b1e4,10000.0,16384,0.27187500000000003,0.5639253691265943,0.5636365534215703,0.5635660937826121
b1e4,10000.0,16384,0.275,0.5653936309522701,0.5651198005549903,0.5650490973964012
b1e4,10000.0,16384,0.278125,0.5668382223045638,0.5666030476884105,0.5665321010101901
b1e4,10000.0,16384,0.28125,0.5683151332567147,0.5680862948218306,0.5680151046239792
b1e4,10000.0,16384,0.284375,0.5697697908303181,0.5695695419552507,0.5694981082377681
b1e4,10000.0,16384,0.28750000000000003,0.5712605391404142,0.5710527890886709,0.5709811118515572
b1e4,10000.0,16384,0.290625,0.572685002051271,0.5725360362220909,0.5724641154653461
b1e4,10000.0,16384,0.29375,0.5741692811207139,0.5740192833555111,0.5739471190791352
b1e4,10000.0,16384,0.296875,0.5756264272962811,0.5755025304889312,0.5754301226929242
b1e4,10000.0,16384,0.30000000000000004,0.5771267199338065,0.5769857776223513,0.5769131263067132
b1e4,10000.0,16384,0.30312500000000003,0.5785644603321997,0.5784690247557714,0.5783961299205022
b1e4,10000.0,16384,0.30625,0.580040584652601,0.5799522718891915,0.5798791335342912
b1e4,10000.0,16384,0.309375,0.5815112670977194,0.5814355190226117,0.5813621371480802
b1e4,10000.0,16384,0.3125,0.5830356965881693,0.5829187661560318,0.5828451407618691
b1e4,10000.0,16384,0.31562500000000004,0.5844731395597382,0.584402013289452,0.5843281443756582
b1e4,10000.0,16384,0.31875000000000003,0.5859342261151443,0.585885260422872,0.5858111479894472
b1e4,10000.0,16384,0.321875,0.5874332746963871,0.5873685075562922,0.5872941516032362
b1e4,10000.0,16384,0.325,0.5889282131507431,0.5888517546897123,0.5887771552170251
b1e4,10000.0,16384,0.328125,0.5903747921333735,0.5903350018231324,0.5902601588308142
b1e4,10000.0,16384,0.33125000000000004,0.5918252706545071,0.5918182489565526,0.5917431624446032
b1e4,10000.0,16384,0.33437500000000003,0.5933008477723561,0.5933014960899726,0.5932261660583922
b1e4,10000.0,16384,0.3375,0.5948018727698221,0.5947847432233928,0.5947091696721811
b1e4,10000.0,16384,0.340625,0.596319232562494,0.5962679903568129,0.5961921732859702
b1e4,10000.0,16384,0.34375,0.5977493456195724,0.597751237490233,0.5976751768997592
b1e4,10000.0,16384,0.34687500000000004,0.599209637530675,0.5992344846236531,0.5991581805135482
b1e4,10000.0,16384,0.35000000000000003,0.600695732235252,0.6007177317570732,0.6006411841273371
b1e4,10000.0,16384,0.353125,0.6021609421873507,0.6022009788904934,0.6021241877411262
b1e4,10000.0,16384,0.35625,0.6036815809600289,0.6036842260239135,0.6036071913549153
b1e4,10000.0,16384,0.359375,0.6051734539294806,0.6051674731573335,0.6050901949687042
b1e4,10000.0,16384,0.36250000000000004,0.6066495453596268,0.6066507202907537,0.6065731985824931
b1e4,10000.0,16384,0.36562500000000003,0.6080733761108205,0.6081339674241738,0.6080562021962822
b1e4,10000.0,16384,0.36875,0.6095532886172657,0.609617214557594,0.6095392058100713
b1e4,10000.0,16384,0.371875,0.6110286984763775,0.6111004616910141,0.6110222094238602
b1e4,10000.0,16384,0.375,0.6125323945505088,0.6125837088244341,0.6125052130376492
b1e4,10000.0,16384,0.37812500000000004,0.6140879166342852,0.6140669559578543,0.6139882166514382
b1e4,10000.0,16384,0.38125000000000003,0.6154677847854083,0.6155502030912745,0.6154712202652273
b1e4,10000.0,16384,0.384375,0.6170510657028432,0.6170334502246946,0.6169542238790162
b1e4,10000.0,16384,0.3875,0.6184724908320701,0.6185166973581147,0.6184372274928052
b1e4,10000.0,16384,0.390625,0.6199059662764612,0.6199999444915347,0.6199202311065942
b1e4,10000.0,16384,0.39375000000000004,0.6213807687598211,0.6214831916249549,0.6214032347203833
b1e4,10000.0,16384,0.39687500000000003,0.6228664253654624,0.6229664387583751,0.6228862383341722
b1e4,10000.0,16384,0.4,0.6244015266276884,0.6244496858917952,0.6243692419479612
b1e4,10000.0,16384,0.403125,0.6259460052782495,0.6259329330252152,0.6258522455617502
b1e4,10000.0,16384,0.40625,0.6273058322225803,0.6274161801586354,0.6273352491755392
b1e4,10000.0,16384,0.40937500000000004,0.6289038134484224,0.6288994272920555,0.6288182527893282
b1e4,10000.0,16384,0.41250000000000003,0.6302568562572863,0.6303826744254757,0.6303012564031172
b1e4,10000.0,16384,0.415625,0.63183491748626,0.6318659215588958,0.6317842600169062
b1e4,10000.0,16384,0.41875,0.6333635455716079,0.6333491686923158,0.6332672636306952
b1e4,10000.0,16384,0.421875,0.6348150243154624,0.634832415825736,0.6347502672444842
b1e4,10000.0,16384,0.42500000000000004,0.6362811562853645,0.6363156629591561,0.6362332708582732
b1e4,10000.0,16384,0.42812500000000003,0.637785007803032,0.6377989100925763,0.6377162744720623
b1e4,10000.0,16384,0.43125,0.6393006941398405,0.6392821572259964,0.6391992780858512
b1e4,10000.0,16384,0.434375,0.640726885569818,0.6407654043594164,0.6406822816996403
b1e4,10000.0,16384,0.4375,0.6420933172312677,0.6422486514928366,0.6421652853134292
b1e4,10000.0,16384,0.44062500000000004,0.6437212870092264,0.6437318986262568,0.6436482889272183
b1e4,10000.0,16384,0.44375000000000003,0.645115465731622,0.6452151457596769,0.6451312925410072
b1e4,10000.0,16384,0.446875,0.646668200296106,0.6466983928930969,0.6466142961547963
b1e4,10000.0,16384,0.45,0.6480282303281124,0.648181640026517,0.6480972997685852
b1e4,10000.0,16384,0.453125,0.6496875150468828,0.6496648871599372,0.6495803033823743
b1e4,10000.0,16384,0.45625000000000004,0.6510953083099033,0.6511481342933574,0.6510633069961632
b1e4,10000.0,16384,0.45937500000000003,0.6524585595273756,0.6526313814267775,0.6525463106099523
b1e4,10000.0,16384,0.4625,0.6539433678601563,0.6541146285601975,0.6540293142237412
b1e4,10000.0,16384,0.465625,0.6554693176984878,0.6555978756936177,0.6555123178375303
b1e4,10000.0,16384,0.46875,0.6569713727387461,0.6570811228270378,0.6569953214513192
b1e4,10000.0,16384,0.47187500000000004,0.658433833695129,0.658564369960458,0.6584783250651083
b1e4,10000.0,16384,0.47500000000000003,0.6598662115720049,0.660047617093878,0.6599613286788972
b1e4,10000.0,16384,0.478125,0.6613279798566452,0.6615308642272981,0.6614443322926863
b1e4,10000.0,16384,0.48125,0.662919873520408,0.6630141113607183,0.6629273359064752
b1e4,10000.0,16384,0.484375,0.6645515115281491,0.6644973584941384,0.6644103395202643
b1e4,10000.0,16384,0.48750000000000004,0.6658866832476771,0.6659806056275586,0.6658933431340532
b1e4,10000.0,16384,0.49062500000000003,0.6672683594678852,0.6674638527609786,0.6673763467478423
b1e4,10000.0,16384,0.49375,0.6690133695542821,0.6689470998943987,0.6688593503616312
b1e4,10000.0,16384,0.496875,0.6702119994954727,0.6704303470278189,0.6703423539754203
b1e4,10000.0,16384,0.5,0.6719585306203854,0.671913594161239,0.6718253575892092
b1e4,10000.0,16384,0.503125,0.6731705704321632,0.6733968412946592,0.6733083612029983
b1e4,10000.0,16384,0.50625,0.6749616766099882,0.6748800884280792,0.6747913648167873
b1e4,10000.0,16384,0.509375,0.6761323458199492,0.6763633355614993,0.6762743684305763
b1e4,10000.0,16384,0.5125000000000001,0.6777837113109024,0.6778465826949195,0.6777573720443653
b1e4,10000.0,16384,0.515625,0.6793982280624626,0.6793298298283396,0.6792403756581542
b1e4,10000.0,16384,0.51875,0.6805989043895724,0.6808130769617597,0.6807233792719433
b1e4,10000.0,16384,0.521875,0.6820657309757,0.6822963240951798,0.6822063828857322
b1e4,10000.0,16384,0.525,0.6837823847116355,0.6837795712286,0.6836893864995213
b1e4,10000.0,16384,0.5281250000000001,0.6853791896451847,0.6852628183620202,0.6851723901133102
b1e4,10000.0,16384,0.53125,0.6867896526383559,0.6867460654954403,0.6866553937270993
b1e4,10000.0,16384,0.534375,0.6881386237584842,0.6882293126288603,0.6881383973408883
b1e4,10000.0,16384,0.5375,0.689517016013815,0.6897125597622804,0.6896214009546773
b1e4,10000.0,16384,0.540625,0.6909426769222775,0.6911958068957006,0.6911044045684662
b1e4,10000.0,16384,0.5437500000000001,0.6924035198440008,0.6926790540291208,0.6925874081822553
b1e4,10000.0,16384,0.546875,0.6938916977392383,0.6941623011625409,0.6940704117960443
b1e4,10000.0,16384,0.55,0.6954151994537308,0.6956455482959609,0.6955534154098333
b1e4,10000.0,16384,0.553125,0.6969922401905705,0.697128795429381,0.6970364190236222
b1e4,10000.0,16384,0.55625,0.6986247013837983,0.6986120425628012,0.6985194226374113
b1e4,10000.0,16384,0.5593750000000001,0.7002518926521004,0.7000952896962214,0.7000024262512003
b1e4,10000.0,16384,0.5625,0.7017351450970513,0.7015785368296414,0.7014854298649893
b1e4,10000.0,16384,0.565625,0.7029804503082339,0.7030617839630615,0.7029684334787782
b1e4,10000.0,16384,0.56875,0.7041805509267242,0.7045450310964816,0.7044514370925672
b1e4,10000.0,16384,0.571875,0.7057568911947154,0.7060282782299018,0.7059344407063564
b1e4,10000.0,16384,0.5750000000000001,0.7076565149718831,0.707511525363322,0.7074174443201453
b1e4,10000.0,16384,0.578125,0.7090991153077159,0.708994772496742,0.7089004479339343
b1e4,10000.0,16384,0.58125,0.7100887956737894,0.7104780196301621,0.7103834515477233
b1e4,10000.0,16384,0.584375,0.711813142026619,0.7119612667635822,0.7118664551615123
b1e4,10000.0,16384,0.5875,0.713688929426926,0.7134445138970024,0.7133494587753013
b1e4,10000.0,16384,0.5906250000000001,0.7145642063779017,0.7149277610304225,0.7148324623890903
b1e4,10000.0,16384,0.59375,0.7162955874555452,0.7164110081638426,0.7163154660028792
b1e4,10000.0,16384,0.596875,0.7180837729338827,0.7178942552972627,0.7177984696166684
b1e4,10000.0,16384,0.6000000000000001,0.7188882651021395,0.7193775024306829,0.7192814732304573
b1e4,10000.0,16384,0.603125,0.7211235396522997,0.720860749564103,0.7207644768442463
b1e4,10000.0,16384,0.6062500000000001,0.7220037237132015,0.7223439966975231,0.7222474804580353
b1e4,10000.0,16384,0.609375,0.7238465853754481,0.7238272438309432,0.7237304840718243
b1e4,10000.0,16384,0.6125,0.7252062825357078,0.7253104909643633,0.7252134876856133
b1e4,10000.0,16384,0.6156250000000001,0.7266336376947065,0.7267937380977835,0.7266964912994023
b1e4,10000.0,16384,0.61875,0.7282748739372112,0.7282769852312037,0.7281794949131912
b1e4,10000.0,16384,0.6218750000000001,0.729578364335479,0.7297602323646237,0.7296624985269804
b1e4,10000.0,16384,0.625,0.7311761720993116,0.7312434794980438,0.7311455021407693
b1e4,10000.0,16384,0.628125,0.73270073206607,0.7327267266314639,0.7326285057545583
b1e4,10000.0,16384,0.6312500000000001,0.7338946264264404,0.7342099737648842,0.7341115093683473
b1e4,10000.0,16384,0.634375,0.7359804212409033,0.7356932208983042,0.7355945129821363
b1e4,10000.0,16384,0.6375000000000001,0.7365511257267348,0.7371764680317243,0.7370775165959254
b1e4,10000.0,16384,0.640625,0.7391251015138284,0.7386597151651444,0.7385605202097143
b1e4,10000.0,16384,0.64375,0.7396244145494261,0.7401429622985646,0.7400435238235034
b1e4,10000.0,16384,0.6468750000000001,0.7416007699596506,0.7416262094319848,0.7415265274372924
b1e4,10000.0,16384,0.65,0.7433714283428767,0.7431094565654048,0.7430095310510814
b1e4,10000.0,16384,0.6531250000000001,0.7438558518607822,0.7445927036988249,0.7444925346648703
b1e4,10000.0,16384,0.65625,0.7464727701228938,0.746075950832245,0.7459755382786593
b1e4,10000.0,16384,0.659375,0.7475194976072367,0.7475591979656652,0.7474585418924483
b1e4,10000.0,16384,0.6625000000000001,0.7483198336660393,0.7490424450990854,0.7489415455062374
b1e4,10000.0,16384,0.665625,0.7510303708776344,0.7505256922325054,0.7504245491200263
